# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.200000000000000000e+01 1.203999999999999959e+00 9.200000000000000400e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.118928294465026951e-01 2.500000000000000139e-02 1.993015844799809646e-17 1.486607342346115423e+01 2.095857242593069714e+00 2.050198310615416527e+09
1.300000000000000000e+01 1.990000000000000102e-01 8.999999999999999667e-02 3.000000000000000000e+09 2.511900000000000000e+07 1.000000000000000888e-02 4.500000000000000111e-01 1.514838586134929685e-15 7.814835857587417500e+00 5.557716421859151268e-01 2.942963280979855359e+07
1.400000000000000000e+01 5.430000000000000382e-01 4.700000000000000289e-01 8.064000000000000000e+08 1.000000000000000000e+07 8.194539282036752414e-01 2.500000000000000139e-02 2.891983708518280719e-17 1.270789019617851778e+01 8.804170735716662088e-01 1.854931429198114157e+09
1.500000000000000000e+01 4.299999999999999933e-01 3.699999999999999956e-01 8.064000000000000000e+08 1.000000000000000000e+07 8.010703869145960887e-01 2.500000000000000139e-02 1.259132768309374203e-16 8.401783652015768489e-01 2.023899611077829341e+00 3.785515615865663528e+09
1.600000000000000000e+01 1.655000000000000027e+00 1.439999999999999947e+00 5.088000000000000000e+08 5.000000000000000000e+07 7.588113568490419958e-01 0.000000000000000000e+00 1.089439235745295093e-17 4.878305990989424146e+01 4.430438758069541905e+00 8.427841758569938660e+09
1.700000000000000000e+01 3.438000000000000167e+00 3.189999999999999947e+00 2.000000000000000000e+09 1.000000000000000000e+07 3.181690290810633703e-01 3.000000000000000444e-01 3.777944762558392142e-17 3.389416114754462228e+01 3.613562481874839136e+02 2.086572309660120850e+11
1.800000000000000000e+01 8.129999999999999449e-01 7.199999999999999734e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 7.500000000000001110e-02 3.022178592573168048e-17 1.601239767177543527e+01 1.553799259506807084e+00 2.011541574982042551e+09
1.900000000000000000e+01 1.191999999999999948e+00 9.799999999999999822e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.080048279597983552e-01 5.000000000000000278e-02 2.671655778361168863e-17 1.132807351945233698e+01 3.388999518288589030e+00 5.007348876875006676e+09
2.000000000000000000e+01 2.580999999999999961e+00 2.430000000000000160e+00 8.064000000000000000e+08 5.000000000000000000e+07 3.181690290810633703e-01 2.000000000000000111e-01 3.752765707831806949e-17 8.347158090254868767e+00 7.780267242700152508e+01 3.665896115298344421e+10
2.100000000000000000e+01 8.309999999999999609e-01 7.600000000000000089e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.345771296661833816e-01 3.250000000000000111e-01 2.822190595955038797e-16 1.199393781217368904e+01 1.696134816912082144e+01 2.848463881899869919e+10
