# obj_no phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
2.700000000000000000e+01 7.299999999999999822e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.469042655519807061e-01 0.000000000000000000e+00 8.083540575848390594e-19 2.914815264557081264e+03 4.324450337034683317e-02 4.562105599607684612e+08
2.800000000000000000e+01 1.040000000000000036e+00 1.139100030000000000e+09 1.000000000000000000e+07 9.439306551992403538e-01 8.500000000000000888e-01 1.806685069113003113e-18 1.352831742789774580e+03 5.346618930160887961e-01 5.228760835936174393e+09
2.900000000000000000e+01 3.260000000000000231e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 7.500000000000000000e-01 4.314178999560298306e-17 4.779169236903866113e+04 0.000000000000000000e+00 1.332052125246380005e+11
3.000000000000000000e+01 4.820000000000000284e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 7.250000000000000888e-01 1.657482101312537226e-15 9.689395665402475970e+02 0.000000000000000000e+00 3.414775558168321094e+13
3.100000000000000000e+01 4.080000000000000071e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.052871451949100479e-01 1.500000000000000000e+00 1.123860298637040190e-18 1.242850792332491665e+03 1.201601846623652214e+01 6.821886714527316284e+10
3.200000000000000000e+01 1.040000000000000036e+00 2.000000000000000000e+09 2.511900000000000000e+07 8.586438751563791882e-01 1.500000000000000000e+00 2.225959911813139082e-17 1.782672216025657008e+03 4.406852729660168499e+00 4.876734264786837769e+10
3.300000000000000000e+01 3.699999999999999956e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 7.000000000000000666e-01 1.164233391785299772e-17 1.108783153266354020e+03 0.000000000000000000e+00 5.639410340039903671e+07
3.400000000000000000e+01 3.200000000000000178e+00 2.000000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 1.500000000000000000e+00 -4.944311335210191423e-17 5.943990040552984055e+02 0.000000000000000000e+00 -5.807927917299752197e+11
3.500000000000000000e+01 1.060000000000000053e+00 2.000000000000000000e+09 5.000000000000000000e+07 9.968174326144358943e-01 6.500000000000000222e-01 8.500536694010230668e-19 3.881028410417088708e+03 1.363282035219548494e-01 1.014450956496812134e+11
3.600000000000000000e+01 6.500000000000000222e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.000000000000000444e-01 3.465242055112658740e-18 8.076236357264212984e+02 0.000000000000000000e+00 7.829066138526982069e+07
3.700000000000000000e+01 5.899999999999999689e-01 1.139100030000000000e+09 5.000000000000000000e+07 9.003521803856815442e-01 1.500000000000000000e+00 1.791751764410243597e-17 3.510291625150602158e+03 4.986411341680030418e-01 5.132826057549035072e+09
3.800000000000000000e+01 1.820000000000000062e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 9.000000000000000222e-01 5.804080172442481247e-18 1.139349837696922123e+03 9.512997099208341467e+00 1.508925427913547754e+08
3.900000000000000000e+01 4.500000000000000111e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.145007413978564204e-01 1.500000000000000222e-01 7.943319704601621636e-19 1.551596657306469297e+03 1.100275284282603572e-02 6.983650680723954737e+07
4.000000000000000000e+01 2.000000000000000111e-01 2.000000000000000000e+09 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 8.649695481303055704e-19 1.502765543957769523e+03 2.969074325053842715e-03 3.653445674034997821e+07
4.100000000000000000e+01 3.099999999999999978e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.897735565382587364e-01 3.000000000000000444e-01 5.274005156178371250e-18 2.860205910602835047e+03 5.361906954224815447e-02 1.309696995640216172e+08
4.200000000000000000e+01 5.000000000000000000e+00 1.139100030000000000e+09 1.000000000000000000e+07 9.990352180385682068e-01 1.250000000000000000e+00 4.285919271902317716e-19 1.149442404869388383e+03 1.710056894136232586e+01 1.027614056047857422e+13
4.300000000000000000e+01 5.000000000000000000e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.575192539750227994e-01 5.750000000000000666e-01 3.683292428206839526e-19 1.511556043743632245e+03 7.522362271635400610e+00 1.001999779426698608e+11
4.400000000000000000e+01 5.300000000000000266e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.298106036794387519e-01 1.500000000000000000e+00 2.915563405098550808e-17 1.848329452984734871e+03 1.233661443521652634e+00 6.448332062172900438e+08
4.500000000000000000e+01 2.359999999999999876e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 1.125000000000000000e+00 2.362302562707329960e-18 9.605298479143863233e+02 8.612138989496958885e+00 1.123365213631483316e+08
4.600000000000000000e+01 8.000000000000000444e-01 4.000000000000000000e+09 2.511900000000000000e+07 2.156717652757182968e-01 1.275000000000000133e+00 3.873023160482294637e-17 1.883180471979206459e+03 3.531104240095416902e+00 3.640885542038779736e+09
4.700000000000000000e+01 3.400000000000000244e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.500000000000000333e-01 1.522918288579839674e-17 1.136676272551210559e+03 0.000000000000000000e+00 5.917627434882277995e+07
4.800000000000000000e+01 4.879999999999999893e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 1.225000000000000089e+00 9.379154129839727134e-19 1.079659587317902833e+03 3.463594416579406499e+01 5.493858173877694607e+08
4.900000000000000000e+01 2.500000000000000000e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.439306551992403538e-01 4.750000000000000333e-01 1.708516993120297997e-18 2.809690376831730646e+03 7.567136780323261647e+00 3.846605021985015869e+10
5.000000000000000000e+01 2.620000000000000107e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.701892829446502331e-01 0.000000000000000000e+00 4.784497283955098868e-19 2.024393145129419963e+03 2.456443907896293410e+00 2.411624557628495026e+10
5.100000000000000000e+01 1.620000000000000107e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.753263149547468647e-01 1.500000000000000000e+00 3.669278844432670205e-18 1.429516480992302149e+03 2.145270011778563468e+00 5.003278615182604218e+10
5.200000000000000000e+01 2.540000000000000036e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.948643875156378824e-01 4.250000000000000444e-01 6.044672908844106227e-20 8.876078412649889060e+02 2.814475540096928463e-01 1.643310800251165771e+10
5.300000000000000000e+01 3.300000000000000155e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 5.000000000000000000e-01 1.248891705156326370e-17 1.028634183622005594e+03 0.000000000000000000e+00 4.492471187877035141e+07
5.400000000000000000e+01 6.800000000000000488e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.937722339831620122e-01 0.000000000000000000e+00 4.941822493429382191e-19 8.590452375675973826e+02 4.213292834427629502e-02 2.918671472010709718e+07
5.500000000000000000e+01 2.540000000000000036e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.497440413925641867e-01 1.225000000000000089e+00 1.255745611481412366e-17 1.133237565758829260e+04 5.846909107236270131e+01 3.335673086471134644e+11
5.600000000000000000e+01 1.409999999999999920e+00 1.139100030000000000e+09 1.000000000000000000e+07 9.881223837605044302e-01 1.500000000000000000e+00 9.330536195864242987e-19 8.941836614120534250e+02 6.949260206098365478e-01 3.355603174583682251e+10
5.700000000000000000e+01 2.109999999999999876e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 9.000000000000000222e-01 8.225690117909891211e-18 1.838358888817956540e+03 2.107284334525433422e+01 2.748736312225627303e+08
5.800000000000000000e+01 4.049999999999999822e+00 5.088000000000000000e+08 5.000000000000000000e+07 8.781743261443593074e-01 4.000000000000000222e-01 3.150788356042059111e-19 2.557161310134581981e+03 3.290612782715383933e+00 1.412961061705588531e+10
5.900000000000000000e+01 2.530000000000000249e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.798004827959798657e-01 0.000000000000000000e+00 3.347129018729122888e-19 2.361671757840432747e+03 7.878649629975366109e-01 2.253890947336569595e+10
6.000000000000000000e+01 1.340000000000000080e+00 5.088000000000000000e+08 5.000000000000000000e+07 8.280299141390016215e-01 1.500000000000000000e+00 5.019104336882854153e-17 6.760475634251443807e+03 1.637213791352736436e+01 4.722985480995905304e+10
6.100000000000000000e+01 4.350000000000000533e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000056e-01 4.837150649523914557e-16 4.881887313633814642e+02 0.000000000000000000e+00 7.188930423315285156e+12
6.200000000000000000e+01 3.099999999999999978e-01 5.088000000000000000e+08 5.000000000000000000e+07 4.851925397502274695e-01 9.500000000000000666e-01 1.150775149146008411e-17 6.254683617849026405e+02 5.988536067759474280e-02 3.622307014178320020e+07
6.300000000000000000e+01 1.660000000000000142e+00 1.700000000000000000e+09 5.000000000000000000e+07 9.550459126142375466e-01 1.175000000000000044e+00 4.470590324241056092e-18 1.159169273749638023e+03 2.818701132511189478e+00 1.208481324914384766e+11
6.400000000000000000e+01 1.370000000000000107e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.900473768503111893e-01 1.500000000000000000e+00 7.436711135505426146e-19 2.063927049042995804e+03 5.071296685678018390e-01 1.520752328741398239e+10
6.500000000000000000e+01 4.660000000000000142e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.000000000000000444e-01 1.596884676691264112e-15 1.296882977634337067e+03 0.000000000000000000e+00 2.954632975855852344e+13
6.600000000000000000e+01 2.419999999999999929e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.683130616529664891e-01 3.500000000000000333e-01 1.209423713475709132e-18 1.990728465130356653e+03 2.475069633248376366e+00 4.465323783162088776e+10
6.700000000000000000e+01 4.520000000000000462e+00 5.088000000000000000e+08 2.511900000000000000e+07 9.683130616529664891e-01 0.000000000000000000e+00 5.339917446289430307e-20 7.885117236993862662e+02 1.033586914444785565e+00 1.425397705917355156e+10
6.800000000000000000e+01 1.060000000000000053e+00 1.700000000000000000e+09 2.511900000000000000e+07 9.860116708098051186e-01 8.500000000000000888e-01 2.460935120903562156e-18 1.988786137670943390e+03 5.158251112724350218e-01 5.608996232648791504e+10
6.900000000000000000e+01 1.719999999999999973e+00 4.000000000000000000e+09 2.511900000000000000e+07 1.000000000000000888e-02 1.200000000000000178e+00 3.928333093931083919e-14 1.770413175889114290e+07 3.613714124537327734e+04 2.243120102800783203e+12
7.000000000000000000e+01 1.630000000000000115e+00 1.139100030000000000e+09 1.000000000000000000e+07 5.500741397856412362e-02 1.050000000000000044e+00 8.622362642901151575e-14 1.583441488700891100e+07 1.003790173373516154e+05 4.394545030857461914e+12
7.100000000000000000e+01 5.799999999999999600e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.497440413925641867e-01 0.000000000000000000e+00 2.103958153725356115e-19 9.433990792543324915e+02 5.577453027973720140e-03 6.233428568114052713e+07
7.200000000000000000e+01 4.450000000000000178e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.683130616529664891e-01 1.250000000000000000e-01 9.115026264479167250e-20 1.101109047244302701e+03 2.509471005867862647e+00 2.313477290775278473e+10
7.300000000000000000e+01 3.689999999999999947e+00 1.700000000000000000e+09 5.000000000000000000e+07 9.990352180385682068e-01 0.000000000000000000e+00 5.524437933449312416e-20 3.960408215995390037e+03 4.292247748300919152e-01 8.959337152583919678e+11
7.400000000000000000e+01 4.870000000000000107e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.550459126142375466e-01 1.500000000000000000e+00 1.767206064450098246e-19 4.751750797298149678e+02 6.483556980877238196e+00 4.157405830191139221e+10
7.500000000000000000e+01 4.750000000000000000e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.156717652757182968e-01 1.025000000000000133e+00 3.434124352976984664e-19 1.512430455241619939e+03 1.163689012764349506e+01 1.080660941864095211e+09
7.600000000000000000e+01 6.400000000000000133e-01 5.088000000000000000e+08 2.511900000000000000e+07 9.575192539750227994e-01 3.000000000000000444e-01 3.516685367688771793e-19 1.116397658646281798e+03 1.687863269963424395e-02 1.718017198185451329e+08
7.700000000000000000e+01 4.270000000000000462e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.941510680753888884e-01 4.750000000000000333e-01 4.541629011884170149e-19 1.159516039580772122e+04 1.096423504689557582e+01 5.617138570504461670e+11
7.800000000000000000e+01 4.160000000000000142e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.229036410043919281e-01 0.000000000000000000e+00 1.555237858767147376e-19 2.895683897248971789e+03 3.455499988085220409e+00 1.250005179356368446e+10
7.900000000000000000e+01 4.799999999999999822e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.080048279597983552e-01 5.000000000000000278e-02 1.071496954661135984e-18 9.189380886740232199e+02 1.768124465706814863e-02 2.612457160219141096e+07
8.000000000000000000e+01 1.770000000000000018e+00 1.139100030000000000e+09 2.511900000000000000e+07 1.000000000000000888e-02 8.750000000000000000e-01 8.859118370360444967e-18 1.353486528329099883e+03 8.907884107795798201e+00 3.018094160751886368e+08
8.100000000000000000e+01 1.090000000000000080e+00 1.139100030000000000e+09 5.000000000000000000e+07 7.215968496873395033e-01 1.375000000000000000e+00 1.024344672158112915e-17 6.405147115539008382e+02 1.786427730990836737e+00 5.338786927131847382e+09
8.200000000000000000e+01 2.040000000000000036e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 1.275000000000000133e+00 6.164214752621555838e-18 1.172972185684533088e+03 1.442258791532532847e+01 1.881278689809516072e+08
8.300000000000000000e+01 8.499999999999999778e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 5.500000000000000444e-01 6.260195375046120399e-18 8.421964353000461188e+02 0.000000000000000000e+00 3.069716232787313461e+08
8.400000000000000000e+01 5.700000000000000622e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.781743261443593074e-01 1.250000000000000000e-01 1.150463040114528556e-18 1.093089228307746680e+03 3.049800945563976157e-02 1.309558512830801457e+08
8.500000000000000000e+01 2.169999999999999929e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.900473768503111893e-01 0.000000000000000000e+00 1.535172105657359411e-19 9.920079931130768500e+02 4.358252460605080980e-01 1.306928580500114250e+10
8.600000000000000000e+01 9.400000000000000577e-01 5.088000000000000000e+08 2.511900000000000000e+07 7.080048279597983552e-01 4.500000000000000111e-01 1.573672500125807419e-18 1.225913651931834920e+03 2.305115596121491695e-01 2.575666315482954085e+08
8.700000000000000000e+01 1.929999999999999938e+00 5.088000000000000000e+08 5.000000000000000000e+07 8.654560229254073533e-01 6.750000000000000444e-01 5.553328252974573400e-19 5.704352870750847160e+02 5.593545537990912697e-01 2.146293034262821198e+09
8.800000000000000000e+01 2.629999999999999893e+00 2.000000000000000000e+09 5.000000000000000000e+07 9.961961573539711567e-01 5.500000000000000444e-01 1.434997780690499484e-19 8.349546641759203567e+02 3.816718534237680815e-01 2.374791571383508911e+11
8.900000000000000000e+01 5.600000000000000533e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.588113568490419958e-01 0.000000000000000000e+00 3.352029789550882677e-19 5.926220414868784019e+02 1.652424820928520208e-02 1.583184706341489777e+07
9.000000000000000000e+01 1.929999999999999938e+00 2.000000000000000000e+09 2.511900000000000000e+07 5.931306165296644783e-01 8.500000000000000888e-01 1.470246862347388720e-17 5.008769207679001738e+03 1.935472678695403559e+01 5.177202291111360931e+10
9.100000000000000000e+01 2.510000000000000231e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.870913234723223129e-01 0.000000000000000000e+00 1.267998660041896247e-19 1.074498211346423432e+03 5.687096808874544385e-01 1.311085054518246651e+10
