# obj_no phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
5.100000000000000000e+01 1.620000000000000107e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 1.500000000000000000e+00 3.872858927889146519e-18 1.429856887850250814e+03 2.264294557622824833e+00 4.945271224442913055e+10
5.200000000000000000e+01 2.540000000000000036e+00 5.088000000000000000e+08 2.511900000000000000e+07 9.941510680753888884e-01 4.000000000000000222e-01 6.692601632866709783e-20 8.876142073397592185e+02 2.084654420193231550e-01 1.596666174408603477e+10
5.300000000000000000e+01 3.300000000000000155e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 5.000000000000000000e-01 1.248891705156326370e-17 1.028634183622005594e+03 0.000000000000000000e+00 4.492471187877035141e+07
5.400000000000000000e+01 6.800000000000000488e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.788688785174088469e-01 0.000000000000000000e+00 5.125682241679183960e-19 8.590751051685351740e+02 4.370047748403300264e-02 2.827679063250700012e+07
5.500000000000000000e+01 2.540000000000000036e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.524560062662843496e-01 1.200000000000000178e+00 1.192287978868327071e-17 1.133249143461459789e+04 5.551442408681462126e+01 3.356990356520731812e+11
5.600000000000000000e+01 1.409999999999999920e+00 1.139100030000000000e+09 1.000000000000000000e+07 9.870913234723223129e-01 1.500000000000000000e+00 1.006857529529529603e-18 8.942548218971490996e+02 7.498941986068764498e-01 3.328389125840328598e+10
5.700000000000000000e+01 2.109999999999999876e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 9.000000000000000222e-01 8.225690117909891211e-18 1.838358888817956540e+03 2.107284334525433422e+01 2.748736312225627303e+08
5.800000000000000000e+01 4.049999999999999822e+00 5.088000000000000000e+08 5.000000000000000000e+07 8.781743261443593074e-01 4.000000000000000222e-01 3.150788356042059111e-19 2.557161310134581981e+03 3.290612782715383933e+00 1.412961061705588531e+10
5.900000000000000000e+01 2.530000000000000249e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.798004827959798657e-01 0.000000000000000000e+00 3.347129018729122888e-19 2.361671757840432747e+03 7.878649629975366109e-01 2.253890947336569595e+10
6.000000000000000000e+01 1.340000000000000080e+00 5.088000000000000000e+08 5.000000000000000000e+07 8.362199171250624952e-01 1.500000000000000000e+00 4.885599206815582300e-17 6.761918372957919928e+03 1.593664897866647578e+01 4.870186733279946899e+10
6.100000000000000000e+01 4.350000000000000533e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000056e-01 4.837150649523914557e-16 4.881887313633814642e+02 0.000000000000000000e+00 7.188930423315285156e+12
6.200000000000000000e+01 3.099999999999999978e-01 5.088000000000000000e+08 5.000000000000000000e+07 4.851925397502274695e-01 9.500000000000000666e-01 1.150775149146008411e-17 6.254683617849026405e+02 5.988536067759474280e-02 3.622307014178320020e+07
6.300000000000000000e+01 1.660000000000000142e+00 1.700000000000000000e+09 5.000000000000000000e+07 9.524560062662843496e-01 1.250000000000000000e+00 5.017396899092844109e-18 1.159272694983424572e+03 3.163461935898145949e+00 1.279023022268160706e+11
6.400000000000000000e+01 1.370000000000000107e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.909453928203675321e-01 1.500000000000000000e+00 6.798063278620985761e-19 2.063950354479079579e+03 4.635785247769610984e-01 1.529365486193852425e+10
6.500000000000000000e+01 4.660000000000000142e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 3.000000000000000444e-01 1.596884676691264112e-15 1.296882977634337067e+03 0.000000000000000000e+00 2.954632975855852344e+13
6.600000000000000000e+01 2.419999999999999929e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.663484167759833765e-01 4.000000000000000222e-01 1.332710957236832039e-18 1.991066023576418502e+03 2.727375346953215374e+00 4.624666171963353729e+10
6.700000000000000000e+01 4.520000000000000462e+00 5.088000000000000000e+08 2.511900000000000000e+07 9.663484167759833765e-01 0.000000000000000000e+00 5.352945275908554639e-20 7.885135012060360395e+02 1.036108562832308788e+00 1.342881817056010628e+10
6.800000000000000000e+01 1.060000000000000053e+00 1.700000000000000000e+09 2.511900000000000000e+07 9.848811356849042076e-01 8.500000000000000888e-01 2.652748039358229440e-18 1.989003999864967000e+03 5.560301208092331970e-01 5.587758875822159576e+10
