# obj_no spec_z phot_z age_old age_new f_old_V old_modifier EBV norm chi
1.100000000000000000e+01 1.089299999999999935e+00 9.699999999999999734e-01 8.064000000000000000e+08 5.000000000000000000e+07 5.000000000000000000e-01 2.204447750067276955e+09 7.250000000000000888e-01 5.654431523522250203e+00 2.237411065909989816e+01
1.200000000000000000e+01 1.266999999999999904e+00 1.229999999999999982e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.200000000000000011e-01 4.389666011417521238e+08 5.000000000000000000e-01 1.013364890371034832e+01 1.254574342474247040e+01
1.300000000000000000e+01 2.671100000000000030e+00 2.750000000000000000e+00 5.088000000000000000e+08 5.000000000000000000e+07 4.000000000000000083e-02 5.455520313602783680e+08 7.000000000000000666e-01 1.601558043483488802e+01 1.691503761365991565e+01
1.400000000000000000e+01 6.630000000000000338e-01 5.999999999999999778e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.199999999999999734e-01 8.538138710161533356e+08 0.000000000000000000e+00 6.164269498096061062e-01 1.278261402025212945e+01
1.500000000000000000e+01 1.135999999999999899e+00 1.040000000000000036e+00 5.088000000000000000e+08 5.000000000000000000e+07 5.799999999999999600e-01 2.109074345611040592e+09 4.250000000000000444e-01 3.669420838792575079e+00 1.451161482322150498e+01
1.600000000000000000e+01 7.375000000000000444e-01 6.500000000000000222e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.199999999999999956e-01 1.104653097400731802e+09 5.250000000000000222e-01 1.266053486151727414e+00 4.426454647421734556e+00
1.700000000000000000e+01 1.930600000000000094e+00 1.489999999999999991e+00 8.064000000000000000e+08 1.000000000000000000e+07 1.199999999999999956e-01 6.105813621226208210e+08 1.100000000000000089e+00 4.291922179904113932e+01 2.055933490611551306e+01
1.800000000000000000e+01 6.594999999999999751e-01 5.799999999999999600e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.200000000000000622e-01 1.473213493515084267e+09 0.000000000000000000e+00 6.753144132987167758e-01 1.632940446659325318e+01
1.900000000000000000e+01 6.670000000000000373e-01 5.899999999999999689e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.200000000000000400e-01 3.765807370923757076e+09 1.074999999999999956e+00 5.200597363126401085e+00 1.865004864938953899e+00
2.000000000000000000e+01 3.029999999999999916e-01 1.000000000000000021e-02 1.434000000000000000e+09 1.000000000000000000e+07 9.599999999999999645e-01 8.949501804040348053e+09 0.000000000000000000e+00 6.962473277191631575e-05 5.287854690979168737e+01
2.100000000000000000e+01 6.599000000000000421e-01 5.600000000000000533e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.600000000000000311e-01 1.191217757954604864e+09 1.325000000000000178e+00 1.660575069663189041e+01 7.550215608422821134e+00
2.200000000000000000e+01 1.239999999999999991e-01 2.919999999999999929e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 0.000000000000000000e+00 5.750000000000000666e-01 6.908360389769079291e+01 2.640503047396952141e+01
2.300000000000000000e+01 2.706599999999999895e+00 2.760000000000000231e+00 5.088000000000000000e+08 5.000000000000000000e+07 2.000000000000000042e-02 2.686288222314984202e+08 1.175000000000000044e+00 4.051024817656760746e+01 3.640389238931818028e+01
2.400000000000000000e+01 2.371000000000000052e-01 2.099999999999999922e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.200000000000000622e-01 1.011331114217116356e+09 1.000000000000000056e-01 5.626149134052196299e-01 6.508431359695938667e+00
2.500000000000000000e+01 2.813999999999999835e-01 1.700000000000000122e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.200000000000000622e-01 9.815084671295900345e+08 0.000000000000000000e+00 6.626596285455710333e-02 3.041458038521597018e+01
2.600000000000000000e+01 7.587000000000000410e-01 6.099999999999999867e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.000000000000000444e-01 2.584438566474585533e+09 5.000000000000000278e-02 9.520109667547582699e-01 2.792856737602231831e+01
2.700000000000000000e+01 1.048999999999999932e+00 9.599999999999999645e-01 1.139100030000000000e+09 1.000000000000000000e+07 4.600000000000000200e-01 1.559086244781102657e+09 1.200000000000000178e+00 1.248380804107646469e+01 9.065890173369373528e+00
2.800000000000000000e+01 3.071499999999999897e+00 3.189999999999999947e+00 5.088000000000000000e+08 5.000000000000000000e+07 4.000000000000000083e-02 7.605667118158437014e+08 1.175000000000000044e+00 4.453616296354747561e+01 4.905517488660782277e+01
2.900000000000000000e+01 2.146000000000000130e-01 2.099999999999999922e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.199999999999999734e-01 5.708558902549574375e+08 0.000000000000000000e+00 1.756833019596674705e-01 2.722046996867415913e+01
3.000000000000000000e+01 2.100999999999999979e+00 2.160000000000000142e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.000000000000000083e-02 2.948131766703036427e+08 1.125000000000000000e+00 4.817969913131997828e+01 1.461613216042885988e+01
3.100000000000000000e+01 6.749000000000000554e-01 5.899999999999999689e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e+00 4.285898582491463470e+10 2.965901743039493610e+00
