# obj_no phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.100000000000000000e+01 1.459999999999999964e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.100000000000000311e-01 5.750000000000000666e-01 1.789962340723587520e-16 1.845881764622238961e+03 7.594377923122067386e+01 4.558777374515031738e+11
1.200000000000000000e+01 3.510000000000000231e+00 2.000000000000000000e+09 5.000000000000000000e+07 1.000000000000000888e-02 2.250000000000000056e-01 2.183739872463546186e-18 5.926483007738365814e+02 1.447622357916118929e+01 1.071185917120508432e+09
1.300000000000000000e+01 2.300000000000000266e+00 3.000000000000000000e+09 2.511900000000000000e+07 1.000000000000000888e-02 3.250000000000000111e-01 1.051048586369164753e-17 1.126333776489947923e+03 2.395902297287580041e+01 1.268695980600955248e+09
1.400000000000000000e+01 1.110000000000000098e+00 4.000000000000000000e+09 5.000000000000000000e+07 4.345600626628430829e-01 1.000000000000000000e+00 1.761281778685658504e-15 2.236603280506922601e+03 3.244371797146625340e+02 1.208415573408306152e+12
1.500000000000000000e+01 4.980000000000000426e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 0.000000000000000000e+00 6.607716083587020085e-16 8.641538834722161937e+02 0.000000000000000000e+00 1.510546360437991016e+13
1.600000000000000000e+01 3.580000000000000071e+00 2.000000000000000000e+09 5.000000000000000000e+07 1.000000000000000888e-02 3.750000000000000000e-01 2.033770773465162612e-17 1.409651823877212337e+03 1.435397157420727012e+02 1.062139730086281204e+10
1.700000000000000000e+01 1.040000000000000036e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 1.750000000000000167e-01 3.517907586082575756e-16 4.152466894262688584e+03 0.000000000000000000e+00 6.041458944377903748e+10
1.800000000000000000e+01 3.200000000000000067e-01 8.064000000000000000e+08 1.000000000000000000e+07 8.781743261443593074e-01 0.000000000000000000e+00 3.131707214088606807e-18 3.163810928775550565e+03 3.453642945145802418e-02 1.153607740372462124e+08
1.900000000000000000e+01 3.189999999999999947e+00 2.000000000000000000e+09 5.000000000000000000e+07 1.000000000000000888e-02 3.500000000000000333e-01 1.676414537001641209e-17 2.059135693595796965e+03 8.207537096199376947e+01 6.073267730092875481e+09
2.000000000000000000e+01 2.580000000000000071e+00 2.500000000000000000e+09 5.000000000000000000e+07 9.909453928203675321e-01 0.000000000000000000e+00 1.092218544564426096e-19 5.223808376151955599e+02 2.734440779986076486e-01 9.193469779063172913e+10
2.100000000000000000e+01 3.890000000000000124e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.870913234723223129e-01 4.250000000000000444e-01 1.057536259162843064e-16 6.085803303671155845e+03 9.716516506120445911e+02 4.379182203514803125e+13
2.200000000000000000e+01 7.500000000000000000e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.000000000000000444e-01 2.166290445708919368e-17 1.156735774718404627e+03 0.000000000000000000e+00 7.376756436294510365e+08
2.300000000000000000e+01 5.000000000000000000e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.926219917125062020e-01 3.000000000000000444e-01 2.190550406445315211e-19 1.110211650828133543e+03 7.895437477522899636e-03 3.201874182627583742e+08
2.400000000000000000e+01 1.260000000000000009e+00 1.139100030000000000e+09 2.511900000000000000e+07 9.955456022925407433e-01 1.250000000000000000e-01 4.815247821432247244e-19 1.634309998764335887e+03 1.701514017118757327e-01 3.299211580156718826e+10
2.500000000000000000e+01 4.000000000000000222e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.870913234723223129e-01 0.000000000000000000e+00 6.427185933184263805e-20 8.853493481226568065e+02 1.268997269126620952e-03 4.484312826844070852e+07
2.600000000000000000e+01 3.479999999999999982e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.575192539750227994e-01 7.500000000000001110e-02 3.922397021374890196e-19 7.392795101724486813e+02 2.530336041479993803e+00 5.160417615891498566e+10
2.700000000000000000e+01 4.360000000000000320e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.663484167759833765e-01 2.500000000000000139e-02 8.972435268627571163e-19 2.232209793429457022e+03 1.184810458360831120e+01 2.009020450042119141e+11
2.800000000000000000e+01 1.040000000000000036e+00 1.434000000000000000e+09 5.000000000000000000e+07 9.187989160644089992e-01 3.500000000000000333e-01 6.328350998698242581e-18 1.351329809055623173e+03 9.586030507858381844e-01 1.831869664446300507e+10
2.900000000000000000e+01 4.540000000000000036e+00 5.088000000000000000e+08 1.000000000000000000e+07 7.345771296661833816e-01 7.500000000000000000e-01 4.341558340428503121e-16 4.777890445299246494e+04 1.273933655730055034e+04 1.075222549988241602e+13
3.000000000000000000e+01 3.609999999999999876e+00 2.000000000000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 3.750000000000000000e-01 6.121092760589553040e-18 9.723444862804238937e+02 8.666653795670691807e+01 1.931165880653120041e+09
3.100000000000000000e+01 3.180000000000000160e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.870913234723223129e-01 0.000000000000000000e+00 1.126537840266711873e-19 1.246009959243092226e+03 5.460823489012731624e-01 2.461164042129372787e+10
3.200000000000000000e+01 2.919999999999999929e+00 2.000000000000000000e+09 1.000000000000000000e+07 9.824577129666183239e-01 1.000000000000000000e+00 6.177269246207604475e-15 1.785016934964957727e+03 4.466084626028397906e+04 3.041921379177530000e+15
3.300000000000000000e+01 3.290000000000000036e+00 2.000000000000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 4.750000000000000333e-01 1.741556809843307018e-17 1.110245009396589239e+03 1.836929318022561120e+02 4.093177491304242134e+09
3.400000000000000000e+01 6.140000000000000568e+00 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 4.000000000000000222e-01 -2.197555539999059619e-18 5.922442532366380874e+02 -1.687200309142906463e+02 -2.676190712452959061e+09
3.500000000000000000e+01 1.060000000000000053e+00 2.000000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 2.000000000000000111e-01 3.871456321544670780e-16 3.901619865617628875e+03 0.000000000000000000e+00 1.474999503988410034e+11
3.600000000000000000e+01 4.280000000000000249e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.798004827959798657e-01 0.000000000000000000e+00 1.007215171934350739e-19 8.008307109253465796e+02 1.253926911362461150e+00 3.587181365939727020e+10
3.700000000000000000e+01 5.899999999999999689e-01 8.064000000000000000e+08 2.511900000000000000e+07 9.003521803856815442e-01 7.000000000000000666e-01 6.599252822339069055e-17 3.510487052104723261e+03 2.400313559982201639e+00 1.503763929579350090e+10
3.800000000000000000e+01 1.820000000000000062e+00 3.000000000000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 3.500000000000000333e-01 2.355881575333425099e-17 1.158127171287278998e+03 3.861334427914012934e+01 1.105124434273434639e+09
3.900000000000000000e+01 3.570000000000000284e+00 2.000000000000000000e+09 1.000000000000000000e+07 1.000000000000000888e-02 3.000000000000000444e-01 5.633160901544063048e-18 1.528416580863983427e+03 7.698658211784699290e+01 1.715470170602103710e+09
4.000000000000000000e+01 2.000000000000000111e-01 2.000000000000000000e+09 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 8.649695481303055704e-19 1.502765543957769523e+03 2.969074325053842715e-03 3.653445674034997821e+07
4.100000000000000000e+01 3.099999999999999978e-01 8.064000000000000000e+08 1.000000000000000000e+07 8.781743261443593074e-01 0.000000000000000000e+00 3.876879892175907158e-18 2.867950266225478572e+03 3.941495815604261627e-02 1.316563453068478853e+08
