# D_a D_b
4.761131692722249120e-01 5.828102110843209616e-01
4.784913279596140212e-01 5.853679799369480019e-01
4.808704041311342436e-01 5.879226189767083888e-01
4.832503195994578560e-01 5.904740275814689410e-01
4.856309960376780088e-01 5.930221054039397366e-01
4.880123549862981358e-01 5.955667523833724220e-01
4.903943178602571118e-01 5.981078687572372043e-01
4.927768059559941571e-01 6.006453550728718671e-01
4.951597404585421636e-01 6.031791121990988103e-01
4.975430424486543268e-01 6.057090413378133364e-01
4.999266329099646411e-01 6.082350440355384080e-01
5.023104327361784804e-01 6.107570221949413236e-01
5.046943627382920461e-01 6.132748780863116478e-01
5.070783436518430110e-01 6.157885143589999499e-01
5.094622961441859221e-01 6.182978340528140215e-01
5.118461408217951369e-01 6.208027406093661327e-01
5.142297982375954035e-01 6.233031378833766567e-01
5.166131888983165332e-01 6.257989301539225169e-01
5.189962332718692783e-01 6.282900221356411130e-01
5.213788517947466339e-01 6.307763189898707434e-01
5.237609648794451234e-01 6.332577263357421771e-01
5.261424929219075119e-01 6.357341502612037232e-01
5.285233563089846154e-01 6.382054973339883475e-01
5.309034754259123190e-01 6.406716746125216133e-01
5.332827706638115783e-01 6.431325896567534617e-01
5.356611624272025196e-01 6.455881505389289288e-01
5.380385711415256456e-01 6.480382658542891416e-01
5.404149172606906859e-01 6.504828447316934881e-01
5.427901212746258919e-01 6.529217968441727304e-01
5.451641037168473147e-01 6.553550324194029608e-01
5.475367851720300827e-01 6.577824622500976215e-01
5.499080862835971084e-01 6.602039977043230312e-01
5.522779277613107940e-01 6.626195507357266479e-01
5.546462303888750611e-01 6.650290338936795109e-01
5.570129150315356048e-01 6.674323603333316424e-01
5.593779026436952462e-01 6.698294438255785188e-01
5.617411142765236232e-01 6.722201987669325085e-01
5.641024710855742086e-01 6.746045401893023818e-01
5.664618943384007732e-01 6.769823837696742341e-01
5.688193054221711842e-01 6.793536458396969291e-01
5.711746258512826468e-01 6.817182433951636256e-01
5.735277772749731717e-01 6.840760941053940503e-01
5.758786814849297109e-01 6.864271163225076355e-01
5.782272604228890778e-01 6.887712290905967372e-01
5.805734361882337602e-01 6.911083521547848330e-01
5.829171310455807387e-01 6.934384059701802494e-01
5.852582674323612011e-01 6.957613117107102063e-01
5.875967679663878229e-01 6.980769912778483910e-01
5.899325554534128324e-01 7.003853673092230725e-01
5.922655528946738634e-01 7.026863631871052007e-01
5.945956834944270408e-01 7.049799030467787109e-01
5.969228706674569729e-01 7.072659117847921451e-01
5.992470380465821922e-01 7.095443150670808219e-01
6.015681094901352832e-01 7.118150393369696571e-01
6.038860090894262456e-01 7.140780118230460882e-01
6.062006611761840968e-01 7.163331605469039909e-01
6.085119903299809341e-01 7.185804143307611414e-01
6.108199213856291276e-01 7.208197028049414534e-01
6.131243794405598635e-01 7.230509564152249879e-01
6.154252898621683787e-01 7.252741064300624041e-01
6.177225782951420996e-01 7.274890849476554067e-01
6.200161706687542518e-01 7.296958249028964172e-01
6.223059932041332676e-01 7.318942600741702442e-01
6.245919724214996638e-01 7.340843250900137562e-01
6.268740351473709449e-01 7.362659554356357772e-01
6.291521085217358644e-01 7.384390874592905440e-01
6.314261200051938250e-01 7.406036583785078342e-01
6.336959973860613049e-01 7.427596062861751003e-01
6.359616687874376506e-01 7.449068701564752759e-01
6.382230626742378954e-01 7.470453898506718149e-01
6.404801078601833897e-01 7.491751061227480690e-01
6.427327335147570153e-01 7.512959606248892364e-01
6.449808691701108820e-01 7.534078959128196473e-01
6.472244447279376089e-01 7.555108554509818442e-01
6.494633904662943102e-01 7.576047836175612282e-01
6.516976370463860579e-01 7.596896257093563865e-01
6.539271155192957208e-01 7.617653279464943195e-01
6.561517573326758335e-01 7.638318374769850205e-01
6.583714943373861761e-01 7.658891023811209564e-01
6.605862587940842801e-01 7.679370716757160098e-01
6.627959833797634204e-01 7.699756953181826624e-01
6.650006011942413142e-01 7.720049242104526366e-01
6.672000457665938633e-01 7.740247102027323356e-01
6.693942510615373820e-01 7.760350060970979680e-01
6.715831514857513174e-01 7.780357656509255815e-01
6.737666818941483449e-01 7.800269435801620022e-01
6.759447775960863991e-01 7.820084955624271306e-01
6.781173743615205307e-01 7.839803782399535903e-01
6.802844084270980307e-01 7.859425492223612864e-01
6.824458165021887179e-01 7.878949670892667623e-01
6.846015357748568286e-01 7.898375913927260239e-01
6.867515039177685132e-01 7.917703826595103855e-01
6.888956590940371605e-01 7.936933023932166709e-01
6.910339399630003321e-01 7.956063130762106583e-01
6.931662856859335253e-01 7.975093781714017727e-01
6.952926359316959903e-01 7.994024621238533523e-01
6.974129308823093787e-01 8.012855303622202774e-01
6.995271112384651158e-01 8.031585493000248377e-01
7.016351182249640495e-01 8.050214863367616269e-01
7.037368935960828242e-01 8.068743098588337936e-01
7.058323796408731976e-01 8.087169892403233140e-01
7.079215191883795333e-01 8.105494948435938429e-01
7.100042556127919013e-01 8.123717980197242561e-01
7.120805328385186872e-01 8.141838711087761027e-01
7.141502953451857039e-01 8.159856874398937476e-01
7.162134881725563673e-01 8.177772213312353156e-01
7.182700569253780420e-01 8.195584480897406543e-01
7.203199477781471183e-01 8.213293440107297672e-01
7.223631074797971507e-01 8.230898863773362661e-01
7.243994833583032866e-01 8.248400534597739586e-01
7.264290233252106432e-01 8.265798245144411194e-01
7.284516758800774205e-01 8.283091797828567859e-01
7.304673901148377446e-01 8.300281004904342952e-01
7.324761157180799120e-01 8.317365688450905070e-01
7.344778029792413676e-01 8.334345680356934905e-01
7.364724027927187500e-01 8.351220822303456748e-01
