# obj_no spec_z phot_z age_old age_new f_old_V old_modifier EBV norm chi
3.800000000000000000e+01 1.135000000000000009e+00 1.050000000000000044e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.799999999999999822e-01 8.466887172054899931e+08 7.000000000000000666e-01 3.935217670112405308e+00 1.008512175564679580e+01
3.900000000000000000e+01 1.277000000000000079e-01 1.199999999999999956e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.599999999999999867e-01 1.275515748371304512e+09 5.000000000000000278e-02 2.736352800661685444e-02 2.475049761662905112e+01
4.000000000000000000e+01 6.250000000000000000e-01 3.229999999999999982e+00 8.064000000000000000e+08 5.000000000000000000e+07 1.400000000000000133e-01 1.549442598042512321e+10 1.225000000000000089e+00 1.714378853851422591e+01 5.028308970048844628e+01
4.100000000000000000e+01 1.350999999999999979e+00 1.280000000000000027e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.600000000000000089e-01 6.072604571584331989e+08 4.500000000000000111e-01 4.576466106069378093e+00 1.209786903180214424e+01
4.200000000000000000e+01 2.416999999999999982e-01 1.700000000000000122e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.800000000000000044e-01 1.579989239769583702e+09 0.000000000000000000e+00 1.184291945869526443e-02 1.686752409450348722e+01
4.300000000000000000e+01 3.481000000000000205e-01 4.000000000000000222e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.199999999999999734e-01 1.390203028237901211e+09 5.000000000000000000e-01 1.301603262575883324e+00 1.306861302048767293e+01
4.400000000000000000e+01 1.427999999999999936e+00 1.390000000000000124e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.200000000000000011e-01 5.800906129724421501e+08 4.000000000000000222e-01 8.845163271030775931e+00 2.454475420052415657e+01
4.500000000000000000e+01 2.330000000000000127e-01 4.199999999999999845e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.599999999999999867e-01 1.672477015435738087e+09 0.000000000000000000e+00 3.539505145543704323e-01 3.296009753182834601e+01
4.600000000000000000e+01 2.165900000000000158e+00 2.709999999999999964e+00 5.088000000000000000e+08 5.000000000000000000e+07 2.000000000000000042e-02 2.616276252809672654e+08 2.500000000000000000e-01 1.156582556555646768e+01 1.063504922267987673e+01
4.700000000000000000e+01 9.829999999999999849e-01 9.000000000000000222e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.600000000000000311e-01 2.014167394305364847e+09 6.500000000000000222e-01 5.654466672559111728e+00 1.215545854494277478e+01
4.800000000000000000e+01 6.660000000000000364e-01 5.600000000000000533e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.600000000000000311e-01 1.191217757954604864e+09 6.500000000000000222e-01 7.486798660745151324e+00 9.267356095198504562e+00
4.900000000000000000e+01 6.596999999999999531e-01 5.000000000000000000e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.199999999999999734e-01 7.628614582741030455e+08 0.000000000000000000e+00 1.530381736241373414e+00 2.883524948285798928e+01
5.000000000000000000e+01 7.329999999999999849e-01 6.600000000000000311e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.399999999999999911e-01 1.948687876762027740e+09 2.000000000000000111e-01 1.979327170724927143e+00 4.820754494865895801e+00
5.100000000000000000e+01 1.469000000000000083e+00 1.530000000000000027e+00 5.088000000000000000e+08 5.000000000000000000e+07 2.000000000000000111e-01 1.076922694290937901e+09 1.500000000000000000e+00 9.211124594571914770e+01 7.301418491992521353e+00
5.200000000000000000e+01 7.329999999999999849e-01 5.000000000000000278e-02 1.700000000000000000e+09 1.000000000000000000e+07 8.200000000000000622e-01 2.062637647229420900e+09 0.000000000000000000e+00 3.569566561081006020e-03 1.782344865125136835e+01
